amount,total_amount_last_24h,txn_count_last_24h,is_new_device,is_odd_hour,channel,transaction_type,country
5747.75,0.0,0,1,0,UPI,WITHDRAWAL,IN
3471.69,5747.75,1,0,0,UPI,TRANSFER,IN
6431.61,9219.44,2,0,0,NET_BANKING,TRANSFER,IN
8051.75,15651.05,3,0,0,UPI,TRANSFER,IN
8182.8,23702.8,4,0,0,NET_BANKING,TRANSFER,IN
10239.07,31885.6,5,0,0,UPI,TRANSFER,IN
3967.82,42124.67,6,1,0,UPI,TRANSFER,IN
4086.73,46092.49,7,0,1,UPI,WITHDRAWAL,IN
9664.67,50179.22,8,0,1,UPI,TRANSFER,IN
3599.52,59843.89,9,1,1,UPI,WITHDRAWAL,IN
3998.12,63443.41,10,0,1,UPI,TRANSFER,IN
7690.4,67441.53,11,0,1,UPI,WITHDRAWAL,IN
10191.75,75131.93,12,0,1,UPI,DEPOSIT,IN
10284.16,85323.68,13,0,0,UPI,TRANSFER,IN
10588.63,95607.84,14,0,0,NET_BANKING,WITHDRAWAL,IN
8860.29,106196.47,15,0,0,UPI,WITHDRAWAL,IN
8386.67,115056.76,16,1,0,UPI,TRANSFER,IN
9514.23,123443.43,17,0,0,CARD,DEPOSIT,IN
6618.86,132957.66,18,0,0,CARD,WITHDRAWAL,IN
2554.67,139576.52,19,0,0,UPI,WITHDRAWAL,IN
8512.42,0.0,0,1,0,CARD,TRANSFER,IN
3110.48,8512.42,1,1,0,CARD,TRANSFER,IN
11555.48,11622.9,2,1,0,UPI,DEPOSIT,US
11069.96,23178.379999999997,3,0,0,CARD,WITHDRAWAL,IN
6635.94,34248.34,4,0,0,CARD,DEPOSIT,IN
7641.84,40884.28,5,0,0,CARD,TRANSFER,IN
3605.69,48526.119999999995,6,0,1,CARD,DEPOSIT,IN
6124.41,52131.81,7,1,1,CARD,WITHDRAWAL,IN
10100.28,58256.22,8,0,1,CARD,DEPOSIT,IN
11659.95,68356.5,9,1,1,CARD,TRANSFER,IN
12233.67,80016.45,10,0,0,UPI,WITHDRAWAL,IN
11111.72,92250.12,11,0,0,CARD,DEPOSIT,IN
4088.85,103361.84,12,0,0,CARD,WITHDRAWAL,SG
5079.63,107450.69,13,0,0,CARD,DEPOSIT,IN
10916.27,112530.32,14,0,0,CARD,TRANSFER,IN
11124.1,123446.59,15,0,0,CARD,WITHDRAWAL,IN
11080.09,134570.69,16,0,0,CARD,TRANSFER,US
11123.92,145650.78,17,0,0,CARD,DEPOSIT,IN
5677.88,156774.7,18,0,0,CARD,DEPOSIT,IN
8975.91,162452.58000000002,19,0,0,CARD,DEPOSIT,IN
6342.3,171428.49000000002,20,0,0,CARD,WITHDRAWAL,IN
5723.65,177770.79,21,0,0,CARD,TRANSFER,IN
7293.9,174982.02000000002,21,0,0,CARD,WITHDRAWAL,IN
3422.08,179165.44000000003,21,0,0,CARD,TRANSFER,IN
8857.28,182587.52,22,0,0,CARD,TRANSFER,IN
3667.61,191444.8,23,1,0,NET_BANKING,WITHDRAWAL,US
7202.47,172486.96999999997,22,0,0,CARD,TRANSFER,IN
5616.59,173053.49999999997,22,0,0,NET_BANKING,WITHDRAWAL,IN
8458.03,171028.24999999997,22,0,0,CARD,DEPOSIT,IN
4378.83,179486.27999999997,23,1,1,CARD,DEPOSIT,IN
8328.79,180259.41999999995,23,0,1,CARD,WITHDRAWAL,IN
10984.47,188588.20999999996,24,1,1,CARD,TRANSFER,IN
10535.8,183347.99,23,0,1,UPI,TRANSFER,IN
4345.97,182223.83999999997,23,0,1,CARD,DEPOSIT,IN
5614.91,186569.80999999997,24,1,0,UPI,TRANSFER,IN
10014.84,179951.05,24,1,0,UPI,DEPOSIT,IN
8322.75,189965.89,25,0,0,CARD,WITHDRAWAL,IN
2752.23,187176.92,25,1,0,NET_BANKING,TRANSFER,IN
22814.9,0.0,0,1,0,NET_BANKING,TRANSFER,IN
10939.38,22814.9,1,0,0,CARD,WITHDRAWAL,IN
9566.15,33754.28,2,1,0,CARD,TRANSFER,IN
15234.98,43320.43,3,1,0,CARD,TRANSFER,SG
7463.53,58555.41,4,1,1,CARD,WITHDRAWAL,IN
20977.35,66018.94,5,0,1,CARD,DEPOSIT,IN
11759.5,86996.29000000001,6,0,1,CARD,WITHDRAWAL,IN
6976.93,98755.79,7,0,1,NET_BANKING,TRANSFER,IN
22267.64,105732.72,8,0,1,CARD,TRANSFER,IN
18424.88,128000.36,9,0,0,CARD,WITHDRAWAL,IN
24103.81,146425.24,10,1,0,CARD,DEPOSIT,IN
8134.17,170529.05,11,0,0,UPI,WITHDRAWAL,IN
17398.61,178663.22,12,1,0,CARD,TRANSFER,IN
22561.06,196061.83,13,0,0,CARD,DEPOSIT,US
