amount,total_amount_last_24h,txn_count_last_24h,is_new_device,is_odd_hour,channel,transaction_type,country,fraud_probability,is_fraud
5747.75,0.0,0,1,0,UPI,WITHDRAWAL,IN,0.07644968030767108,0
3471.69,5747.75,1,0,0,UPI,TRANSFER,IN,0.031919958481987594,0
6431.61,9219.44,2,0,0,NET_BANKING,TRANSFER,IN,0.03946685496176327,0
8051.75,15651.05,3,0,0,UPI,TRANSFER,IN,0.03198605849284743,0
8182.8,23702.8,4,0,0,NET_BANKING,TRANSFER,IN,0.03229704543893896,0
10239.07,31885.6,5,0,0,UPI,TRANSFER,IN,0.046007906158901615,0
3967.82,42124.67,6,1,0,UPI,TRANSFER,IN,0.07175779153528444,0
4086.73,46092.49,7,0,1,UPI,WITHDRAWAL,IN,0.0590834125025477,0
9664.67,50179.22,8,0,1,UPI,TRANSFER,IN,0.06019454740835309,0
3599.52,59843.89,9,1,1,UPI,WITHDRAWAL,IN,0.11494469153484127,0
3998.12,63443.41,10,0,1,UPI,TRANSFER,IN,0.0718996743177176,0
7690.4,67441.53,11,0,1,UPI,WITHDRAWAL,IN,0.06760739454273909,0
10191.75,75131.93,12,0,1,UPI,DEPOSIT,IN,0.08635750156966737,0
10284.16,85323.68,13,0,0,UPI,TRANSFER,IN,0.10253658772840052,0
10588.63,95607.84,14,0,0,NET_BANKING,WITHDRAWAL,IN,0.10270123622130035,0
8860.29,106196.47,15,0,0,UPI,WITHDRAWAL,IN,0.08549467602241899,0
8386.67,115056.76,16,1,0,UPI,TRANSFER,IN,0.14583531168295463,0
9514.23,123443.43,17,0,0,CARD,DEPOSIT,IN,0.09616521274019968,0
6618.86,132957.66,18,0,0,CARD,WITHDRAWAL,IN,0.09934296432189432,0
2554.67,139576.52,19,0,0,UPI,WITHDRAWAL,IN,0.10336742928124089,1
8512.42,0.0,0,1,0,CARD,TRANSFER,IN,0.07540954861998074,0
3110.48,8512.42,1,1,0,CARD,TRANSFER,IN,0.07893180372409583,0
11555.48,11622.9,2,1,0,UPI,DEPOSIT,US,0.09788680698845388,0
11069.96,23178.379999999997,3,0,0,CARD,WITHDRAWAL,IN,0.055962392353662446,0
6635.94,34248.34,4,0,0,CARD,DEPOSIT,IN,0.037441075490776465,0
7641.84,40884.28,5,0,0,CARD,TRANSFER,IN,0.03825858705848467,0
3605.69,48526.119999999995,6,0,1,CARD,DEPOSIT,IN,0.05677381828630135,0
6124.41,52131.81,7,1,1,CARD,WITHDRAWAL,IN,0.09360753278983887,0
10100.28,58256.22,8,0,1,CARD,DEPOSIT,IN,0.07073704717165188,0
11659.95,68356.5,9,1,1,CARD,TRANSFER,IN,0.1301928099007493,0
12233.67,80016.45,10,0,0,UPI,WITHDRAWAL,IN,0.10024458567570495,0
11111.72,92250.12,11,0,0,CARD,DEPOSIT,IN,0.10548569196075995,0
